mandate_id,mandate,poll_id,vote,reason_no_show,reason_no_show_other,politician name
41075,Marion Seib (Bundestag 2005-2009),707,no_show,,,
41067,Franz Müntefering (Bundestag 2005-2009),707,no_show,,,
40587,Dieter Grasedieck (Bundestag 2005-2009),707,no_show,,,
44302,Karl Addicks (Bundestag 2005-2009),707,no_show,,,
38728,Heike Hänsel (Bundestag 2005-2009),707,no_show,,,
40992,Steffen Reiche (Bundestag 2005-2009),707,no_show,,,
40788,Holger Ortel (Bundestag 2005-2009),707,no_show,,,
39143,Florian Pronold (Bundestag 2005-2009),707,no_show,,,
40649,Max Stadler (Bundestag 2005-2009),707,no_show,,,
40920,Nina Hauer (Bundestag 2005-2009),707,no_show,,,
40741,Hans-Joachim Otto (Bundestag 2005-2009),707,no_show,,,
40532,Anna Lührmann (Bundestag 2005-2009),707,no_show,,,
40918,Monika Brüning (Bundestag 2005-2009),707,no_show,,,
40949,Petra Heß (Bundestag 2005-2009),707,no_show,,,
39512,Hubertus Heil (Bundestag 2005-2009),707,no_show,,,
39602,Sigmar Gabriel (Bundestag 2005-2009),707,no_show,,,
40562,Carl-Ludwig Thiele (Bundestag 2005-2009),707,no_show,,,
44300,Hermann Scheer (Bundestag 2005-2009),707,no_show,,,
40622,Frank Schmidt (Bundestag 2005-2009),707,no_show,,,
44323,Lothar Bisky (Bundestag 2005-2009),707,no_show,,,
40608,Dagmar Enkelmann (Bundestag 2005-2009),707,no_show,,,
40853,Klaus Hofbauer (Bundestag 2005-2009),707,no_show,,,
39036,Marianne Schieder (Bundestag 2005-2009),707,no_show,,,
38760,Gernot Erler (Bundestag 2005-2009),707,no_show,,,
38301,Bodo Ramelow (Bundestag 2005-2009),707,no_show,,,
38920,Thomas Strobl (Bundestag 2005-2009),707,no_show,,,
40720,Gerd Andres (Bundestag 2005-2009),707,no_show,,,
40889,Martin Schwanholz (Bundestag 2005-2009),707,no_show,,,
39709,Marco Bülow (Bundestag 2005-2009),707,no_show,,,
40728,Gesine Multhaupt (Bundestag 2005-2009),707,no_show,,,
39850,Sabine Bätzing-Lichtenthäler (Bundestag 2005-2009),707,no_show,,,
39803,Thomas Bareiß (Bundestag 2005-2009),707,no_show,,,
40940,Paul Klemens Friedhoff (Bundestag 2005-2009),707,no_show,,,Paul
44285,Uwe Beckmeyer (Bundestag 2005-2009),707,no_show,,,
44331,Peter Rzepka (Bundestag 2005-2009),707,no_show,,,
44353,Bernhard Schulte-Drüggelte (Bundestag 2005-2009),707,no_show,,,
40773,Henry Nitzsche (Bundestag 2005-2009),707,no_show,,,
40796,Ilse Aigner (Bundestag 2005-2009),707,no_show,,,
44338,Ursula Heinen-Esser (Bundestag 2005-2009),707,no_show,,,
40845,Kerstin Müller (Bundestag 2005-2009),707,no_show,,,
40947,Peter Rauen (Bundestag 2005-2009),707,no_show,,,
40957,Rainer Brüderle (Bundestag 2005-2009),707,no_show,,,
44359,Maria Böhmer (Bundestag 2005-2009),707,no_show,,,
40938,Patrick Meinhardt (Bundestag 2005-2009),707,no_show,,,
40644,Margrit Wetzel (Bundestag 2005-2009),707,no_show,,,
39344,Anette Kramme (Bundestag 2005-2009),707,no_show,,,
39298,Paul Lehrieder (Bundestag 2005 - 2009),707,no_show,,,Paul Lehrieder
40924,Oskar Lafontaine (Bundestag 2005-2009),707,no_show,,,
40688,Ernst Bahr (Bundestag 2005-2009),707,no_show,,,
40597,Axel Berg (Bundestag 2005-2009),707,no_show,,,
39312,Karl A. Lamers (Bundestag 2005-2009),707,no_show,,,Karl
41057,Burkhardt Müller-Sönksen (Bundestag 2005-2009),707,no_show,,,
41082,Werner Dreibus (Bundestag 2005-2009),707,no_show,,,
39284,Michael Leutert (Bundestag 2005-2009),707,no_show,,,
39823,Wolfgang Strengmann-Kuhn (Bundestag 2005-2009),707,abstain,,,
40731,Gregor Amann (Bundestag 2005-2009),707,abstain,,,
40674,Wolf Bauer (Bundestag 2005-2009),707,abstain,,,
39503,Petra Hinz (Bundestag 2005-2009),707,abstain,,,
39829,Detlef Müller (Bundestag 2005-2009),707,abstain,,,
