mandate_id,mandate,poll_id,vote,reason_no_show,reason_no_show_other,politician name
40570,Christian Ahrendt (Bundestag 2009-2013),834,no_show,,,
38903,Jan van Aken (Bundestag 2009-2013),834,no_show,,,Jan
39806,Heinz-Joachim Barchmann (Bundestag 2009-2013),834,no_show,,,
39783,Bärbel Bas (Bundestag 2009-2013),834,no_show,,,
39789,Marieluise Beck (Bundestag 2009-2013),834,no_show,,,
40722,Gerd Friedrich Bollmann (Bundestag 2009-2013),834,no_show,,,Gerd
38765,Christine Buchholz (Bundestag 2009-2013),834,no_show,,,
41010,Ulla Burchardt (Bundestag 2009-2013),834,no_show,,,
40690,Ernst Burgbacher (Bundestag 2009-2013),834,no_show,,,
40873,Marco Buschmann (Bundestag 2009-2013),834,no_show,,,
41175,Viola von Cramon-Taubadel (Bundestag 2009 - 2013),834,no_show,,,Viola von Cramon-Taubadel
39669,Martin Dörmann (Bundestag 2009-2013),834,no_show,,,
38779,Katrin Göring-Eckardt (Bundestag 2009-2013),834,no_show,,,
40908,Michael Glos (Bundestag 2009-2013),834,no_show,,,
39583,Nicole Gohlke (Bundestag 2009-2013),834,no_show,,,
40676,Wolfgang Götzer (Bundestag 2009-2013),834,no_show,,,
40946,Peter Götz (Bundestag 2009-2013),834,no_show,,,
44292,Diana Golze (Bundestag 2009-2013),834,no_show,,,
44377,Ute Granold (Bundestag 2009-2013),834,no_show,,,
40917,Miriam Gruß (Bundestag 2009-2013),834,no_show,,,
39517,Rosemarie Hein (Bundestag 2009-2013),834,no_show,,,
39515,Mechthild Heil (Bundestag 2009-2013),834,no_show,,,
40970,Rolf Hempelmann (Bundestag 2009-2013),834,no_show,,,
38735,Christian Hirte (Bundestag 2009-2013),834,no_show,,,
44313,Elke Hoff (Bundestag 2009-2013),834,no_show,,,
41002,Thilo Hoppe (Bundestag 2009-2013),834,no_show,,,
38742,Andreas Jung (Bundestag 2009-2013),834,no_show,,,
39396,Katja Keul (Bundestag 2009-2013),834,no_show,,,
37976,Harald Koch (Bundestag 2009-2013),834,no_show,,,
40710,Fritz Rudolf Körper (Bundestag 2009-2013),834,no_show,,,Fritz
39369,Tom Koenigs (Bundestag 2009-2013),834,no_show,,,
40734,Gudrun Kopp (Bundestag 2009-2013),834,no_show,,,
41006,Thomas Kossendey (Bundestag 2009-2013),834,no_show,,,
38714,Sylvia Kotting-Uhl (Bundestag 2009-2013),834,no_show,,,
38704,Hilde Mattheis (Bundestag 2009-2013),834,no_show,,,
38884,Hans-Georg von der Marwitz (Bundestag 2009-2013),834,no_show,,,Hans-Georg von
41073,Kornelia Möller (Bundestag 2009-2013),834,no_show,,,
41054,Bernd Neumann (Bundestag 2009-2013),834,no_show,,,
40826,Johannes Pflug (Bundestag 2009-2013),834,no_show,,,
39104,Katherina Reiche (Bundestag 2009-2013),834,no_show,,,
41179,Ingrid Remmers (Bundestag 2009 - 2013),834,no_show,,,Ingrid Remmers
40842,Karin Roth (Bundestag 2009-2013),834,no_show,,,
39071,Michael Roth (Bundestag 2009-2013),834,no_show,,,
44301,Hermann Scheer (Bundestag 2009-2013),834,no_show,,,
